z,ra,dec,r,grModelColor
0.109132,199.8173335,0.1077338,17.53969,0.90242195
0.1168092,201.5343024,0.20186745,17.31383,1.03433418
0.1052362,195.5041162,-3.38894184,16.66552,0.85072708
0.1052127,196.7149803,-3.37496387,16.55146,1.03192711
0.1121232,184.655807,-3.12472434,17.40805,1.07268333
0.1080594,196.1682499,-1.44770455,16.29059,0.94075966
0.1107264,198.0185667,-1.41442059,16.87306,0.84101105
0.1020945,136.8271006,-0.70072475,17.27961,0.68606567
0.1161854,155.9640272,61.30730496,17.03932,0.83088303
0.1190915,131.8262786,51.79042067,17.51643,0.64076614
0.1018154,115.5043734,38.86085968,16.19817,0.77942085
0.1147443,133.4550702,54.51944594,17.49665,0.93297768
0.1173268,133.9624084,54.81665661,17.72013,0.85843658
0.1180485,257.9456336,58.28629483,17.53607,1.02330208
0.1112266,199.5411792,0.8994044,17.1917,0.76205444
0.1120551,199.5924819,0.979235,17.10286,0.94899559
0.1095516,200.9178915,1.04206712,17.51971,1.01929283
0.1163217,208.3599207,0.86738887,16.20537,0.99189949
0.1197528,165.0615039,0.79747552,17.06859,1.03459167
0.1139401,196.0437844,-3.46886189,17.19147,0.63042641
0.1140643,185.6167809,-2.02170891,17.63869,0.69246483
0.1092164,133.5106486,0.55081042,17.79913,0.96501732
0.1157691,155.8397656,61.30368138,17.60292,0.65656281
0.1152771,131.5129914,50.82440239,16.1682,0.96915817
0.115355,116.2337399,38.06050288,16.796,0.58735275
0.1102061,256.5322172,60.3765754,17.15071,1.01725769
0.1158929,258.6380403,58.63622559,17.18523,0.65834236
0.1148928,259.1278974,58.75456381,17.62407,0.98482895
0.1143478,132.4001564,51.85263971,17.07698,0.71515083
0.1187442,136.3564814,55.15436934,16.40381,1.03219223
0.1188089,247.785459,46.49847417,16.82151,0.74446487
0.1045837,188.7729414,66.72894933,16.30837,0.93162727
0.1184143,150.3515807,63.45506004,17.2122,0.69920731
0.1172223,116.6701433,42.87622513,17.7773,1.06194496
0.1140603,123.9196931,50.36316158,17.72022,0.66475677
0.1081634,244.3308692,-0.08199282,17.18763,0.77133751
0.1070465,244.6625603,0.3677322,17.04583,0.58181
0.1198782,249.0388539,0.34197364,17.82525,1.10801888
0.1179317,185.0435917,-1.10671424,17.83532,1.01157379
