Throughput capacity [A.h],Loss of capacity to negative SEI [A.h],Loss of capacity to negative SEI on cracks [A.h],Loss of capacity to negative lithium plating [A.h],Total capacity lost to side reactions [A.h],All LLI (converted from mol) [A.h]
0,-8.67361737988404E-19,1.05879118406788E-22,0,1.7735732472312E-22,1.48778057774813E-15
0.0161059606353362,3.55898289403338E-06,0.000347950479921197,0.00303834641360167,0.0033898558764169,0.00338986375274922
0.0245476858626566,7.11527324489224E-06,0.000492514546515645,0.00497625012631888,0.00547587994607942,0.00547588962681555
0.0275033669725866,9.19326337971756E-06,0.000560017359787755,0.00576962110103732,0.00633883172420479,0.00633884163162935
0.0275033669725866,9.19326337971756E-06,0.000560017359787755,0.00576962110103732,0.00633883172420479,0.00633884163162935
0.0275033669725866,1.2745299425734E-05,0.000659698009161296,0.00661569494651648,0.00728813825510351,0.00728814786526124
0.0275033669725866,1.62946586800558E-05,0.000746204374150496,0.0072140268004221,0.00797652583325265,0.00797653522700961
0.0275033669725866,1.98413473620276E-05,0.000823752515718735,0.00763827444056014,0.0084818683036409,0.00848187753609518
0.0275033669725866,2.33853716100968E-05,0.000894681638463746,0.00793993938013791,0.00885800639021175,0.00885801550135319
0.0275033669725866,2.69267371748455E-05,0.000960371057789361,0.00815323907888087,0.00914053687384508,0.00914054589314905
0.0275033669725866,3.04654497550686E-05,0.00102178534614436,0.00830305865112424,0.00935530944702366,0.00935531839609625
0.0275033669725866,3.40015150866804E-05,0.00107963710789216,0.00840781984938945,0.00952145847236829,0.00952146736686813
0.0275033669725866,3.75349393661973E-05,0.00113453011441918,0.00848232828474155,0.00965439333852693,0.00965440218924834
0.0275033669725866,4.1065728736348E-05,0.00118689059394983,0.00853588013566162,0.0097638364583478,0.00976384527296066
0.0275033669725866,4.45938890316841E-05,0.0012370511512982,0.00857496714695408,0.00985661218728397,0.0098566209712588
0.0275033669725866,4.81194261071106E-05,0.00128526729667328,0.00860376614606374,0.00993715286884413,0.00993716162620464
0.0275033669725866,5.16423457916576E-05,0.00133174675452703,0.00862517691068295,0.0100085660110016,0.010008574744753
0.0275033669725866,5.5162653899315E-05,0.00137666276531123,0.00864126979597389,0.0100730952151844,0.010073103927594
0.0275033669725866,5.86803562289354E-05,0.00142016580685849,0.00865361985390012,0.0101324660169876,0.0101324747097504
0.0275033669725866,6.2195458558973E-05,0.00146238120170883,0.00866328237408947,0.0101878590343573,0.0101878677087877
0.0275033669725866,6.57079666448899E-05,0.00150341628912908,0.00867100465579637,0.0102401289115703,0.0102401375686957
0.0275033669725866,6.92178862220063E-05,0.00154336915419243,0.00867743615540258,0.010290023195817,0.0102900318364215
0.0275033669725866,7.27252229908637E-05,0.00158231134731614,0.00868280508317003,0.010337841653477,0.0103378502782426
0.0275033669725866,7.62299826328914E-05,0.00162030141625517,0.00868717727228213,0.0103837086711702,0.0103837172807416
0.0275033669725866,7.97321708508195E-05,0.0016574172930188,0.00869091513409664,0.0104280645979662,0.0104280731928414
0.0275033669725866,8.32317932620511E-05,0.00169371109830743,0.00869425515853576,0.0104711980501052,0.010471206630688
0.0275033669725866,8.67288555613027E-05,0.00172925417699437,0.00869746185678876,0.0105134448893444,0.0105134534559265
0.0275033669725866,9.02233632071687E-05,0.00176405216936244,0.008700341892508,0.0105546174250776,0.0105546259780148
0.0275033669725866,9.37153218083207E-05,0.00179815293529775,0.00870301733530566,0.0105948855924117,0.0105948941319988
0.0275033669725866,9.72047369683874E-05,0.00183160291660653,0.00870559966087982,0.0106344073144547,0.0106344158409395
0.0275033669725866,0.000100691614276793,0.00186444455837112,0.00870817048698491,0.0106733066596328,0.0106733151732205
0.0275033669725866,0.000104175959259454,0.0018967130849563,0.00871076419340868,0.0107116532376244,0.0107116617384947
0.0275033669725866,0.000107657777353803,0.00192843366137337,0.00871334935160283,0.01074944079033,0.0107494492786703
0.0275033669725866,0.000111137074201371,0.00195965465685385,0.00871604633513256,0.0107868380661878,0.0107868465421247
0.0275033669725866,0.000114613855359762,0.00199041489888903,0.00871891309545541,0.0108239418497042,0.0108239503133346
0.0275033669725866,0.000118088126153086,0.00202071760578001,0.00872185184003081,0.0108606575719639,0.0108606660234188
0.0275033669725866,0.000121559891739024,0.00205054061542469,0.00872465376998968,0.0108967542771534,0.0108967627166341
0.0275033669725866,0.00012502915781674,0.00207994434327965,0.00872747125612354,0.0109324447572199,0.0109324531848613
0.0275033669725866,0.000128495929855184,0.00210895409685003,0.00873030311749509,0.0109677531442003,0.0109677615601275
0.0275033669725866,0.000131960213103823,0.00213757501277503,0.00873312442128346,0.0110026596471623,0.0110026680515083
0.0275033669725866,0.000135422012756717,0.00216580713570151,0.00873590423867289,0.0110371333871311,0.0110371417800389
0.0275033669725866,0.00013888133437138,0.00219368391226262,0.00873865097282728,0.0110712162194613,0.0110712246010606
0.0275033669725866,0.00014233818334174,0.00222122375541408,0.00874135532424189,0.0111049172629977,0.0111049256334141
0.0275033669725866,0.000145792564795306,0.00224842848352663,0.00874403477687109,0.011138255825193,0.0111382641845441
