Time [h],Voltage [V] (V_si=0.001),Voltage [V] (V_si=0.04),Voltage [V] (V_si=0.1)
0.937876,3.62376,3.62172,3.61837
0.943888,3.62063,3.61854,3.61511
0.9499,3.6175,3.61536,3.61186
0.955912,3.61439,3.6122,3.60862
0.961924,3.61128,3.60904,3.60539
0.967936,3.60819,3.6059,3.60217
0.973948,3.60512,3.60277,3.59897
0.97996,3.60205,3.59965,3.59578
0.985972,3.599,3.59655,3.5926
0.991984,3.59595,3.59345,3.58944
0.997996,3.59292,3.59038,3.5863
1.00401,3.58991,3.58731,3.58318
1.01002,3.5869,3.58426,3.58008
1.01603,3.58391,3.58122,3.57699
1.02204,3.58093,3.57819,3.57393
1.02806,3.57795,3.57518,3.57089
1.03407,3.57499,3.57218,3.56787
1.04008,3.57204,3.5692,3.56486
1.04609,3.5691,3.56624,3.56188
1.0521,3.56618,3.56329,3.55892
1.05812,3.56327,3.56036,3.55597
1.06413,3.56037,3.55744,3.55304
1.07014,3.55748,3.55453,3.55013
1.07615,3.5546,3.55164,3.54722
1.08216,3.55173,3.54876,3.54433
1.08818,3.54887,3.54589,3.54144
1.09419,3.54602,3.54303,3.53856
1.1002,3.54318,3.54017,3.53569
1.10621,3.54035,3.53732,3.53283
1.11222,3.53751,3.53447,3.52997
1.11824,3.53468,3.53162,3.52713
1.12425,3.53184,3.52877,3.5243
1.13026,3.52901,3.52591,3.52147
1.13627,3.52616,3.52306,3.51866
1.14228,3.52331,3.52022,3.51586
1.1483,3.52046,3.51737,3.51306
1.15431,3.5176,3.51453,3.51027
1.16032,3.51475,3.5117,3.50747
1.16633,3.51189,3.50887,3.50468
1.17234,3.50903,3.50604,3.50188
1.17836,3.50617,3.5032,3.49906
1.18437,3.50331,3.50036,3.49624
1.19038,3.50044,3.49751,3.4934
1.19639,3.49757,3.49465,3.49054
1.2024,3.49468,3.49176,3.48767
1.20842,3.49178,3.48886,3.48477
1.21443,3.48885,3.48593,3.48185
1.22044,3.4859,3.48297,3.47892
1.22645,3.48292,3.47997,3.47597
1.23246,3.4799,3.47695,3.473
1.23848,3.47684,3.47389,3.47001
1.24449,3.47374,3.4708,3.46701
1.2505,3.4706,3.46768,3.464
1.25651,3.46741,3.46453,3.46099
1.26253,3.46418,3.46134,3.45798
1.26854,3.4609,3.45813,3.45498
1.27455,3.45759,3.45491,3.45199
1.28056,3.45423,3.45167,3.44901
1.28657,3.45083,3.44842,3.44603
1.29259,3.44742,3.44518,3.44307
1.2986,3.44398,3.44194,3.44011
1.30461,3.44054,3.4387,3.43715
1.31062,3.4371,3.43547,3.4342
1.31663,3.43365,3.43223,3.43126
1.32265,3.43019,3.42898,3.42833
1.32866,3.42671,3.42573,3.42543
1.33467,3.42322,3.42248,3.42256
1.34068,3.41972,3.41924,3.41973
1.34669,3.4162,3.41603,3.41699
1.35271,3.4127,3.41285,3.41435
1.35872,3.40922,3.40976,3.41183
1.36473,3.4058,3.40681,3.40939
1.37074,3.40251,3.40402,3.40701
1.37675,3.39941,3.40136,3.40468
1.38277,3.39651,3.39878,3.40238
1.38878,3.39373,3.39626,3.40009
1.39479,3.39103,3.39378,3.3978
1.4008,3.38837,3.3913,3.39548
1.40681,3.38572,3.38879,3.39313
1.41283,3.38302,3.38623,3.39073
1.41884,3.38023,3.38358,3.38827
1.42485,3.37731,3.38083,3.38573
1.43086,3.37422,3.37795,3.3831
1.43687,3.37092,3.3749,3.38038
1.44289,3.36736,3.37168,3.37754
1.4489,3.36348,3.36825,3.37459
1.45491,3.35924,3.36458,3.37151
1.46092,3.35454,3.36063,3.36829
1.46693,3.34929,3.35638,3.36492
1.47295,3.34333,3.35176,3.3614
1.47896,3.33639,3.34668,3.35769
1.48497,3.32823,3.34109,3.35378
1.49098,3.3186,3.33495,3.34967
1.49699,3.30734,3.32828,3.34538
1.50301,3.29435,3.32117,3.34094
1.50902,3.27978,3.31376,3.3364
1.51503,3.26384,3.30622,3.33182
1.52104,3.24676,3.29876,3.32725
1.52705,3.22874,3.29152,3.32274
1.53307,3.20994,3.28462,3.31835
1.53908,3.19043,3.27809,3.3141
1.54509,3.1703,3.27199,3.31003
1.5511,3.14962,3.26629,3.30611
1.55711,3.12796,3.261,3.30238
1.56313,3.10425,3.25608,3.2988
1.56914,3.07764,3.2515,3.29538
1.57515,3.0479,3.24724,3.2921
1.58116,3.01499,3.24325,3.28897
1.58717,2.97878,3.2395,3.28596
1.59319,2.93891,3.23595,3.28307
1.5992,2.89399,3.23257,3.28029
1.60521,2.83981,3.22933,3.27761
1.61122,2.76652,3.2262,3.27501
1.61723,2.65376,3.22314,3.27251
1.62214,2.50001,,
1.62325,,3.22013,3.27007
1.62926,,3.21714,3.26771
1.63527,,3.21415,3.26541
1.64128,,3.21114,3.26316
