Time [h],Silicon Avg J [A/m2] (V_si=0.001),Silicon Avg J [A/m2] (V_si=0.04),Silicon Avg J [A/m2] (V_si=0.1)
0.805611,0.105439,0.107325,0.110807
0.811623,0.10505,0.107039,0.110707
0.817635,0.104705,0.106803,0.110666
0.823647,0.104408,0.106623,0.110685
0.829659,0.104161,0.106498,0.110765
0.835671,0.103968,0.106432,0.110909
0.841683,0.10383,0.106424,0.111118
0.847695,0.10375,0.106477,0.111397
0.853707,0.103727,0.106591,0.111744
0.859719,0.103764,0.10677,0.112165
0.865731,0.103861,0.107014,0.112658
0.871743,0.104022,0.107329,0.113228
0.877756,0.104247,0.107711,0.113874
0.883768,0.104541,0.108168,0.114601
0.88978,0.104903,0.108696,0.115409
0.895792,0.105336,0.109301,0.116304
0.901804,0.10584,0.109982,0.117285
0.907816,0.10642,0.110746,0.118358
0.913828,0.107074,0.11159,0.119523
0.91984,0.107809,0.112522,0.120788
0.925852,0.108624,0.113541,0.122149
0.931864,0.109524,0.114653,0.123616
0.937876,0.11051,0.115858,0.125185
0.943888,0.111588,0.117164,0.126863
0.9499,0.112757,0.118569,0.128645
0.955912,0.114026,0.120082,0.130536
0.961924,0.115392,0.121698,0.13253
0.967936,0.116865,0.123426,0.134636
0.973948,0.118441,0.125261,0.136847
0.97996,0.12013,0.127209,0.13917
0.985972,0.121927,0.129265,0.141605
0.991984,0.123839,0.131436,0.144151
0.997996,0.125859,0.133717,0.146801
1.00401,0.127997,0.136115,0.14954
1.01002,0.130247,0.138631,0.152357
1.01603,0.132616,0.141266,0.155249
1.02204,0.135103,0.144016,0.158223
1.02806,0.137714,0.146868,0.161282
1.03407,0.140448,0.149809,0.164422
1.04008,0.143301,0.152834,0.16763
1.04609,0.14626,0.155948,0.170903
1.0521,0.149312,0.159157,0.174238
1.05812,0.152453,0.162462,0.177645
1.06413,0.155692,0.165853,0.181131
1.07014,0.159034,0.169321,0.184704
1.07615,0.16248,0.172863,0.188368
1.08216,0.166019,0.176489,0.192132
1.08818,0.169642,0.180207,0.195995
1.09419,0.173352,0.184026,0.199961
1.1002,0.177155,0.187954,0.204025
1.10621,0.181063,0.192,0.20818
1.11222,0.185086,0.196167,0.212411
1.11824,0.189234,0.200461,0.216709
1.12425,0.193514,0.20488,0.221059
1.13026,0.197935,0.20942,0.225456
1.13627,0.202499,0.214066,0.229892
1.14228,0.207209,0.21881,0.234382
1.1483,0.212055,0.223635,0.238937
1.15431,0.21703,0.228533,0.243581
1.16032,0.222116,0.233497,0.248331
1.16633,0.227305,0.238537,0.253219
1.17234,0.232583,0.243667,0.258265
1.17836,0.23795,0.248914,0.263502
1.18437,0.243414,0.254301,0.268959
1.19038,0.249002,0.259866,0.274654
1.19639,0.254737,0.265638,0.280616
1.2024,0.260656,0.271658,0.286843
1.20842,0.266796,0.277965,0.293358
1.21443,0.273201,0.284598,0.300151
1.22044,0.279917,0.291588,0.307237
1.22645,0.286997,0.298945,0.314599
1.23246,0.294488,0.306704,0.322235
1.23848,0.302415,0.314865,0.330108
1.24449,0.310826,0.323455,0.338218
1.2505,0.319731,0.332461,0.346525
1.25651,0.329174,0.341889,0.354966
1.26253,0.339156,0.351703,0.363517
1.26854,0.349705,0.361887,0.372122
1.27455,0.360792,0.372386,0.380788
1.28056,0.372414,0.383146,0.389487
1.28657,0.384515,0.394111,0.398255
1.29259,0.397042,0.405254,0.407113
1.2986,0.409925,0.416561,0.416133
1.30461,0.423125,0.428047,0.425312
1.31062,0.436629,0.439767,0.434676
1.31663,0.450452,0.451821,0.44416
1.32265,0.464667,0.464262,0.453739
1.32866,0.479414,0.477065,0.463302
1.33467,0.494782,0.490217,0.472776
1.34068,0.510756,0.503587,0.481927
1.34669,0.527315,0.517084,0.490351
1.35271,0.544292,0.530422,0.497642
1.35872,0.561521,0.543105,0.503714
1.36473,0.578485,0.554269,0.508781
1.37074,0.594166,0.563575,0.513109
1.37675,0.607456,0.571274,0.516912
1.38277,0.618379,0.577824,0.520391
1.38878,0.627534,0.583606,0.523719
1.39479,0.635549,0.588974,0.527094
1.4008,0.642955,0.594269,0.530704
1.40681,0.650314,0.599874,0.534752
1.41283,0.658213,0.606158,0.539413
1.41884,0.667302,0.613525,0.544883
1.42485,0.678209,0.622332,0.551312
1.43086,0.691649,0.633004,0.558902
1.43687,0.708319,0.645908,0.567784
1.44289,0.729176,0.661582,0.578199
1.4489,0.755286,0.680533,0.590285
1.45491,0.788113,0.703456,0.604346
1.46092,0.829687,0.731189,0.620585
1.46693,0.882978,0.764833,0.639315
1.47295,0.952987,0.805996,0.660886
1.47896,1.04813,0.857111,0.685859
1.48497,1.18048,0.921011,0.714789
1.49098,1.36687,1.00051,0.748148
1.49699,1.63136,1.09778,0.786046
1.50301,2.00843,1.21433,0.828373
1.50902,2.54128,1.35024,0.874578
1.51503,3.28872,1.50386,0.924048
1.52104,4.33547,1.67093,0.975762
1.52705,5.80424,1.84688,1.02885
1.53307,7.87734,2.02694,1.08195
1.53908,10.8265,2.20758,1.13431
1.54509,14.9412,2.38478,1.18495
1.5511,20.1068,2.55658,1.23366
1.55711,25.1813,2.72057,1.27984
1.56313,28.5806,2.87612,1.32361
1.56914,30.1841,3.02208,1.36462
1.57515,31.2527,3.15869,1.40315
1.58116,32.9957,3.2856,1.43903
1.58717,36.1614,3.40342,1.47258
1.59319,40.8739,3.51202,1.50371
1.5992,46.1203,3.61201,1.53275
1.60521,49.8108,3.7034,1.55966
1.61122,51.8491,3.78675,1.58474
1.61723,53.9421,3.862,1.60798
1.62214,55.4868,,
1.62325,,3.93013,1.62964
1.62926,,3.99102,1.64971
1.63527,,4.04546,1.66841
1.64128,,4.09346,1.68574
1.64729,,4.13572,1.70188
1.65331,,4.17235,1.71684
1.65932,,4.20396,1.73077
1.66533,,4.23074,1.74361
1.67134,,4.2532,1.75557
1.67735,,4.27159,1.76661
1.68337,,4.28639,1.77689
1.68938,,4.29779,1.78635
1.69539,,4.3063,1.79515
1.7014,,4.3122,1.80321
1.70741,,4.31584,1.81068
1.71343,,4.31754,1.8175
1.71944,,4.31757,1.82379
1.72545,,4.31627,1.82949
1.73146,,4.31385,1.83472
1.73747,,4.31063,1.83943
1.74349,,4.30678,1.84372
1.7495,,4.3026,1.84755
1.75551,,4.29819,1.851
1.76152,,4.29382,1.85405
1.76754,,4.28957,1.85671
1.77355,,4.28564,1.85907
1.77956,,4.2821,1.86108
1.78557,,4.27916,1.86283
1.79158,,4.27672,1.86426
1.7976,,4.27503,1.86547
1.80361,,4.27394,1.86641
1.80962,,4.27366,1.86714
1.81563,,4.27408,1.86765
1.82164,,4.27529,1.86798
1.82766,,4.27723,1.8681
1.83367,,4.27991,1.86808
1.83968,,4.28332,1.86788
1.84569,,4.28738,1.86755
1.8517,,4.29213,1.86708
1.85772,,4.29746,1.8665
1.86373,,4.30332,1.86579
1.86974,,4.3097,1.86501
1.87575,,4.3165,1.86411
1.88176,,4.32371,1.86316
1.88778,,4.33123,1.86211
1.89379,,4.33907,1.86102
1.8998,,4.34709,1.85986
1.90581,,4.35531,1.85867
1.91182,,4.36361,1.85742
1.91784,,4.372,1.85616
1.92385,,4.38035,1.85486
1.92986,,4.38868,1.85356
1.93587,,4.39685,1.85223
1.94188,,4.40491,1.8509
1.9479,,4.41272,1.84956
1.95391,,4.42034,1.84824
1.95992,,4.42762,1.84692
1.96593,,4.43465,1.84562
1.97194,,4.44133,1.84433
1.97796,,4.44766,1.84307
1.98397,,4.45359,1.84182
1.98998,,4.45916,1.84062
1.99599,,4.46427,1.83943
2.002,,4.46902,1.83829
2.00802,,4.47329,1.83718
2.01403,,4.4772,1.83612
2.02004,,4.48061,1.83509
2.02605,,4.48366,1.83412
2.03206,,4.48623,1.83318
2.03808,,4.48846,1.8323
2.04409,,4.49022,1.83145
2.0501,,4.49175,1.83067
2.05611,,4.49271,1.82993
2.06212,,4.49344,1.82925
2.06814,,4.49387,1.82861
2.07415,,4.494,1.82804
2.08016,,4.49387,1.82751
2.08617,,4.4935,1.82704
2.09218,,4.49294,1.82661
2.0982,,4.49224,1.82625
2.10421,,4.49143,1.82593
2.11022,,4.49055,1.82567
2.11623,,4.48959,1.82545
2.12224,,4.48862,1.82529
2.12826,,4.48764,1.82516
2.13427,,4.48678,1.8251
2.14028,,4.48615,1.82506
