Time [h],Silicon Avg Vol J [A/m3] (V_si=0.001),Silicon Avg Vol J [A/m3] (V_si=0.04),Silicon Avg Vol J [A/m3] (V_si=0.1)
0.865731,153.742,6336.36,16676.4
0.871743,153.98,6354.98,16760.8
0.877756,154.313,6377.65,16856.3
0.883768,154.749,6404.68,16964
0.88978,155.283,6435.93,17083.6
0.895792,155.925,6471.78,17216.1
0.901804,156.671,6512.11,17361.2
0.907816,157.53,6557.32,17520.1
0.913828,158.498,6607.3,17692.6
0.91984,159.586,6662.49,17879.8
0.925852,160.792,6722.8,18081.3
0.931864,162.125,6788.67,18298.5
0.937876,163.584,6860.04,18530.7
0.943888,165.179,6937.36,18779.1
0.9499,166.91,7020.55,19042.8
0.955912,168.788,7110.09,19322.7
0.961924,170.81,7205.79,19618
0.967936,172.991,7308.12,19929.7
0.973948,175.324,7416.77,20257
0.97996,177.824,7532.12,20600.9
0.985972,180.483,7653.83,20961.3
0.991984,183.314,7782.37,21338.2
0.997996,186.305,7917.45,21730.4
1.00401,189.469,8059.46,22135.8
1.01002,192.799,8208.4,22552.9
1.01603,196.306,8364.44,22981
1.02204,199.988,8527.24,23421.2
1.02806,203.854,8696.12,23873.9
1.03407,207.9,8870.29,24338.8
1.04008,212.124,9049.38,24813.7
1.04609,216.503,9233.76,25298.1
1.0521,221.02,9423.77,25791.7
1.05812,225.671,9619.47,26296.1
1.06413,230.465,9820.22,26812.1
1.07014,235.413,10025.6,27341
1.07615,240.513,10235.3,27883.5
1.08216,245.751,10450,28440.6
1.08818,251.115,10670.1,29012.4
1.09419,256.606,10896.3,29599.5
1.1002,262.235,11128.9,30201.1
1.10621,268.021,11368.4,30816.2
1.11222,273.975,11615.1,31442.4
1.11824,280.115,11869.4,32078.7
1.12425,286.451,12131.1,32722.5
1.13026,292.995,12399.9,33373.4
1.13627,299.751,12675,34030.1
1.14228,306.723,12955.9,34694.7
1.1483,313.898,13241.5,35369
1.15431,321.261,13531.6,36056.3
1.16032,328.79,13825.5,36759.6
1.16633,336.472,14123.9,37483
1.17234,344.284,14427.6,38230
1.17836,352.229,14738.3,39005.3
1.18437,360.317,15057.3,39813
1.19038,368.589,15386.8,40656
1.19639,377.078,15728.6,41538.5
1.2024,385.84,16085,42460.4
1.20842,394.928,16458.5,43424.7
1.21443,404.41,16851.2,44430.2
1.22044,414.35,17265.1,45479.2
1.22645,424.831,17700.7,46568.9
1.23246,435.92,18160.1,47699.2
1.23848,447.654,18643.3,48864.7
1.24449,460.104,19151.9,50065.2
1.2505,473.286,19685.2,51294.8
1.25651,487.264,20243.4,52544.3
1.26253,502.041,20824.5,53810
1.26854,517.656,21427.5,55083.8
1.27455,534.067,22049.2,56366.6
1.28056,551.27,22686.3,57654.3
1.28657,569.183,23335.5,58952.3
1.29259,587.727,23995.3,60263.5
1.2986,606.797,24664.8,61598.6
1.30461,626.337,25344.9,62957.4
1.31062,646.325,26038.8,64343.5
1.31663,666.788,26752.5,65747.4
1.32265,687.829,27489.2,67165.4
1.32866,709.659,28247.3,68580.9
1.33467,732.407,29026,69983.2
1.34068,756.053,29817.7,71337.9
1.34669,780.566,30616.8,72584.9
1.35271,805.695,31406.6,73664.1
1.35872,831.199,32157.6,74563
1.36473,856.31,32818.6,75313
1.37074,879.522,33369.6,75953.7
1.37675,899.195,33825.4,76516.6
1.38277,915.363,34213.3,77031.5
1.38878,928.915,34555.6,77524.2
1.39479,940.78,34873.5,78023.8
1.4008,951.742,35187,78558.1
1.40681,962.635,35518.9,79157.4
1.41283,974.328,35890.9,79847.3
1.41884,987.782,36327.1,80657.1
1.42485,1003.93,36848.6,81608.7
1.43086,1023.82,37480.5,82732.2
1.43687,1048.5,38244.5,84046.9
1.44289,1079.37,39172.6,85588.7
1.4489,1118.02,40294.7,87377.8
1.45491,1166.62,41652,89459.1
1.46092,1228.15,43294.1,91863
1.46693,1307.04,45286.1,94635.5
1.47295,1410.67,47723.5,97828.5
1.47896,1551.5,50750,101525
1.48497,1747.43,54533.5,105808
1.49098,2023.33,59240.8,110746
1.49699,2414.85,65000.1,116355
