Time [s],DFN Voltage [V],SPM Voltage [V],SPMe Voltage [V]
0.0,3.7476234107681967,3.759844477986391,3.7458723469645063
12.040133779264215,3.7351482611735034,3.7519690442109974,3.732909202378452
24.08026755852843,3.7284571461638567,3.748036520452518,3.7257293781000245
36.12040133779264,3.7234988015126174,3.7448424938471034,3.7204021195116077
48.16053511705686,3.719546383250594,3.742012777893297,3.716177987055553
60.200668896321076,3.716227293616062,3.739407729188496,3.712665633886087
72.24080267558529,3.713323770922082,3.736959048464114,3.709626318697498
84.28093645484951,3.7107010817134123,3.734627459517053,3.706909085709454
96.32107023411372,3.708273585389782,3.7323867775130335,3.704416982789497
108.36120401337793,3.7059840771663026,3.730219682402876,3.7020859648996387
120.40133779264215,3.7037996987852297,3.7281142907129086,3.699872829563864
132.44147157190636,3.701694603277217,3.7260618728804396,3.6977492551715345
144.48160535117057,3.6996526146269932,3.724055810629864,3.695696124424865
156.52173913043478,3.6976632101159215,3.722091178471668,3.6937000849937394
168.56187290969902,3.69571859899334,3.7201642725352255,3.6917518483910032
180.60200668896323,3.6938129253337344,3.718272420671701,3.689845186777703
192.64214046822744,3.6919424630764457,3.7164136596186017,3.687975926870489
204.68227424749165,3.6901051743082105,3.7145864392906613,3.6861411508968334
216.72240802675586,3.688298259097113,3.7127895790908183,3.6843387050552865
228.7625418060201,3.6865192032856413,3.7110222180141297,3.6825671647699396
240.8026755852843,3.6847688029989243,3.7092836541705556,3.6808250201643506
252.84280936454851,3.6830437664555067,3.7075733718887705,3.679111685247946
264.8829431438127,3.681343563642406,3.705890970488726,3.67742635008829
276.92307692307696,3.679669401527464,3.704236149677478,3.6757687812270428
288.96321070234114,3.678014348754874,3.702608643754833,3.6741387025124608
301.0033444816054,3.676380402663565,3.7010082072548203,3.67253594713775
313.04347826086956,3.674768019539253,3.699434662794144,3.670960241277628
325.0836120401338,3.6731699482382636,3.6978877741890304,3.6694113679732725
337.12374581939804,3.671588655642395,3.6963673938393375,3.6678890117473992
349.1638795986622,3.6700229217387914,3.6948732917211506,3.666392970577223
361.20401337792646,3.6684689858199917,3.693405272171963,3.664923003177182
373.24414715719064,3.6669303190532605,3.691963110378598,3.6634789193375905
385.2842809364549,3.6654042019533732,3.6905465541421187,3.66206047694341
397.3244147157191,3.6638906137312155,3.689155353647236,3.6606674172277427
409.3645484949833,3.662392251090337,3.6877892528628458,3.6592994547654163
421.40468227424753,3.660907123743825,3.6864479325527504,3.657956327429863
433.4448160535117,3.6594365037974317,3.6851310642253634,3.6566376899964226
445.48494983277595,3.657982302742993,3.6838384075807955,3.65534324896585
457.5250836120402,3.656539972196369,3.6825695653832824,3.65407267645265
469.5652173913044,3.655115573455081,3.681324150812014,3.6528255922435164
481.6053511705686,3.653705692342287,3.6801018566676005,3.6516016470299775
493.6454849498328,3.6523119685191006,3.678902286910894,3.6504004526234564
505.68561872909703,3.6509337954621746,3.677725018977814,3.649221599881252
517.7257525083612,3.649570822108507,3.676569643533364,3.648064676395574
529.7658862876254,3.648224084285536,3.675435751535959,3.6469292460716427
541.8060200668897,3.6468932069796955,3.674322884048215,3.6458148568851163
553.8461538461539,3.645578002552534,3.6732305760366857,3.644721038435482
565.886287625418,3.6442778559199125,3.672158338165859,3.6436473012788335
577.9264214046823,3.6429934816432086,3.671105662326312,3.642593132575633
589.9665551839465,3.6417235065419735,3.6700720132476032,3.641557995002532
602.0066889632108,3.640469381417134,3.6690568261959915,3.6405413272735148
614.046822742475,3.6392291267891066,3.668059488757613,3.639542520406743
626.0869565217391,3.6380029926413915,3.667079364419525,3.638560937197766
638.1270903010034,3.636790812588564,3.666115771122004,3.6375958962118435
650.1672240802676,3.635592297700521,3.665167975901115,3.636646663842588
662.2073578595318,3.6344071085050453,3.664235182286825,3.6357124463733963
674.2474916387961,3.6332349222424543,3.663316529928312,3.634792378114564
686.2876254180602,3.6320753501792984,3.6624110732159045,3.633885515818032
698.3277591973244,3.6309277881571926,3.661517763768234,3.6329908164166085
710.3678929765887,3.6297919022530127,3.6606354501033818,3.6321071182334608
722.4080267558529,3.628667299455078,3.6597628436958085,3.6312331372495317
734.4481605351172,3.6275535790127558,3.6588984948228225,3.6303674311020346
746.4882943143813,3.6264502403458447,3.658040785258717,3.6295083676256077
758.5284280936455,3.62535653284111,3.657187882580565,3.6286541189986483
770.5685618729098,3.624271827254731,3.65633770741541,3.6278026127038285
782.608695652174,3.6231961083382362,3.655487916903948,3.626951500734229
794.6488294314382,3.6221285966980528,3.654635848025459,3.626098121838027
806.6889632107024,3.621068277142876,3.6537784786120326,3.625239455476441
818.7290969899666,3.620014043377788,3.6529124062852745,3.624372094595763
830.7692307692308,3.6189655976121102,3.652033789896399,3.6234921995361695
842.8093645484951,3.6179224614177254,3.651138319863391,3.622595466503348
854.8494983277593,3.616883495384171,3.6502212150255122,3.621677105899753
866.8896321070234,3.6158467853231677,3.6492771945475595,3.6207318432531475
878.9297658862877,3.6148119512796972,3.6483005032360833,3.6197539293700522
890.9698996655519,3.613777858089753,3.647284984873718,3.6187371968866127
903.0100334448161,3.6127426369915216,3.6462241590400284,3.61767516596704
915.0501672240804,3.6117030801042693,3.645111391759622,3.616561203722171
927.0903010033445,3.6106585239022584,3.6439401448060575,3.6153887703996044
939.1304347826087,3.6096061327365363,3.6427042611400062,3.614151721307773
951.170568561873,3.608542539475372,3.641398373301476,3.612844681749065
963.2107023411372,3.607462829257212,3.6400183850844283,3.611463542023682
975.2508361204015,3.606363811042281,3.6385619623737275,3.61000596768011
