Time [s],Voltage (Fickian diffusion) [V],Voltage (uniform profile) [V],Voltage (quadratic profile) [V],Voltage (quartic profile) [V]
0,3.62034761712769,3.62034761652897,3.57515193427284,3.61374662586479
50.7042253521127,3.50895970957513,3.54251805839381,3.4949111803693,3.50998082870049
101.408450704225,3.46481128229538,3.50536412950522,3.45844341581647,3.46428683963253
152.112676056338,3.43853127870902,3.47900612996996,3.43540064994969,3.43759279051673
202.816901408451,3.41918830846376,3.45403539286536,3.41680198836329,3.41810113073929
253.521126760563,3.39765401614555,3.43424617465529,3.39813868863211,3.39633446830551
304.225352112676,3.36924745602619,3.41703287236988,3.37291619255293,3.36776930773531
354.929577464789,3.33003409398563,3.38826985569449,3.33689663980753,3.32840522165752
405.633802816901,3.27383228483867,3.34484278001983,3.28433560434351,3.27214197190341
456.338028169014,3.17902790494846,3.28475564492104,3.1923366918871,3.17721694326149
507.042253521127,,3.18357549520223,,
