Time [h],Silicon Conc_norm (V_si=0.001),Silicon Conc_norm (V_si=0.04),Silicon Conc_norm (V_si=0.1)
0.817635,0.971687,0.971246,0.970539
0.823647,0.971521,0.971076,0.970363
0.829659,0.971355,0.970906,0.970186
0.835671,0.971189,0.970737,0.97001
0.841683,0.971024,0.970567,0.969833
0.847695,0.970859,0.970398,0.969656
0.853707,0.970693,0.970228,0.969478
0.859719,0.970528,0.970058,0.9693
0.865731,0.970363,0.969888,0.96912
0.871743,0.970197,0.969717,0.96894
0.877756,0.970031,0.969546,0.968759
0.883768,0.969865,0.969374,0.968577
0.88978,0.969698,0.969201,0.968394
0.895792,0.969531,0.969027,0.968209
0.901804,0.969362,0.968852,0.968023
0.907816,0.969193,0.968676,0.967835
0.913828,0.969023,0.968499,0.967646
0.91984,0.968852,0.968321,0.967454
0.925852,0.968679,0.96814,0.96726
0.931864,0.968506,0.967958,0.967064
0.937876,0.96833,0.967775,0.966866
0.943888,0.968153,0.967589,0.966665
0.9499,0.967974,0.967401,0.966461
0.955912,0.967793,0.96721,0.966254
0.961924,0.96761,0.967018,0.966044
0.967936,0.967425,0.966822,0.965831
0.973948,0.967237,0.966624,0.965615
0.97996,0.967047,0.966422,0.965394
0.985972,0.966854,0.966217,0.96517
0.991984,0.966658,0.966009,0.964942
0.997996,0.966458,0.965798,0.96471
1.00401,0.966256,0.965582,0.964474
1.01002,0.96605,0.965363,0.964233
1.01603,0.96584,0.96514,0.963987
1.02204,0.965626,0.964912,0.963737
1.02806,0.965408,0.96468,0.963482
1.03407,0.965186,0.964443,0.963222
1.04008,0.96496,0.964202,0.962957
1.04609,0.964729,0.963955,0.962687
1.0521,0.964493,0.963704,0.962411
1.05812,0.964252,0.963447,0.962131
1.06413,0.964006,0.963185,0.961844
1.07014,0.963755,0.962917,0.961552
1.07615,0.963498,0.962644,0.961255
1.08216,0.963236,0.962365,0.960951
1.08818,0.962968,0.962081,0.960641
1.09419,0.962694,0.96179,0.960325
1.1002,0.962414,0.961493,0.960003
1.10621,0.962128,0.96119,0.959674
1.11222,0.961836,0.96088,0.959338
1.11824,0.961537,0.960563,0.958996
1.12425,0.961231,0.960239,0.958646
1.13026,0.960919,0.959909,0.95829
1.13627,0.960599,0.959571,0.957926
1.14228,0.960272,0.959225,0.957556
1.1483,0.959937,0.958872,0.957178
1.15431,0.959595,0.958511,0.956793
1.16032,0.959244,0.958142,0.9564
1.16633,0.958885,0.957765,0.956
1.17234,0.958518,0.95738,0.955592
1.17836,0.958143,0.956987,0.955175
1.18437,0.957758,0.956585,0.95475
1.19038,0.957365,0.956175,0.954316
1.19639,0.956963,0.955755,0.953873
1.2024,0.956552,0.955327,0.95342
1.20842,0.95613,0.954888,0.952957
1.21443,0.955699,0.954439,0.952482
1.22044,0.955257,0.953979,0.951997
1.22645,0.954805,0.953507,0.951501
1.23246,0.954341,0.953023,0.950992
1.23848,0.953864,0.952527,0.950471
1.24449,0.953374,0.952017,0.949938
1.2505,0.95287,0.951493,0.949393
1.25651,0.952351,0.950954,0.948833
1.26253,0.951817,0.950399,0.948261
1.26854,0.951267,0.949829,0.947675
1.27455,0.950699,0.949242,0.947075
1.28056,0.950113,0.948639,0.946461
1.28657,0.949508,0.948018,0.945834
1.29259,0.948883,0.947379,0.945191
1.2986,0.948238,0.946722,0.944536
1.30461,0.947572,0.946047,0.943865
1.31062,0.946885,0.945354,0.94318
1.31663,0.946176,0.944643,0.942479
1.32265,0.945445,0.943914,0.941764
1.32866,0.944692,0.943163,0.941033
1.33467,0.943916,0.942393,0.940288
1.34068,0.943114,0.9416,0.939527
1.34669,0.942288,0.940788,0.938753
1.35271,0.941433,0.939952,0.937966
1.35872,0.940553,0.939097,0.937169
1.36473,0.939644,0.938222,0.936362
1.37074,0.93871,0.937332,0.935548
1.37675,0.937751,0.936427,0.934728
1.38277,0.936775,0.935512,0.933902
1.38878,0.935782,0.934587,0.93307
1.39479,0.934776,0.933653,0.932233
1.4008,0.933757,0.93271,0.93139
1.40681,0.932728,0.93176,0.930542
1.41283,0.931685,0.930799,0.929686
1.41884,0.93063,0.929828,0.928823
1.42485,0.929558,0.928843,0.92795
1.43086,0.928468,0.927844,0.927066
1.43687,0.927352,0.926824,0.926168
1.44289,0.926208,0.925783,0.925255
1.4489,0.925026,0.924715,0.924323
1.45491,0.923798,0.923613,0.923372
1.46092,0.922511,0.922471,0.922397
1.46693,0.921148,0.92128,0.921393
1.47295,0.919688,0.92003,0.920358
1.47896,0.918097,0.918707,0.919286
1.48497,0.916326,0.917292,0.91817
1.49098,0.914303,0.915763,0.917006
1.49699,0.911925,0.914093,0.915783
1.50301,0.90904,0.912253,0.914498
1.50902,0.905436,0.910211,0.913141
1.51503,0.90082,0.90794,0.911709
1.52104,0.894789,0.905413,0.910195
1.52705,0.886773,0.902613,0.908599
1.53307,0.875965,0.899523,0.906916
1.53908,0.861204,0.896151,0.905151
1.54509,0.840846,0.892489,0.903302
1.5511,0.81303,0.888554,0.901375
1.55711,0.776838,0.884348,0.899371
1.56313,0.733748,0.879891,0.897298
1.56914,0.686786,0.87519,0.895155
1.57515,0.637887,0.870269,0.892951
1.58116,0.586873,0.865134,0.890685
1.58717,0.532021,0.859807,0.888367
1.59319,0.470849,0.854298,0.885995
1.5992,0.401518,0.848625,0.883577
1.60521,0.324814,0.842797,0.881113
1.61122,0.243849,0.836833,0.878609
1.61723,0.160271,0.830736,0.876065
1.62214,0.0904247,,
1.62325,,0.824531,0.873487
1.62926,,0.818219,0.870875
1.63527,,0.81182,0.868232
1.64128,,0.805336,0.865561
1.64729,,0.798783,0.862863
1.65331,,0.792165,0.86014
1.65932,,0.785494,0.857394
1.66533,,0.778776,0.854626
1.67134,,0.77202,0.851838
1.67735,,0.765231,0.849032
1.68337,,0.758416,0.846209
1.68938,,0.751579,0.84337
1.69539,,0.744727,0.840518
1.7014,,0.737863,0.837651
1.70741,,0.730992,0.834773
1.71343,,0.724117,0.831883
1.71944,,0.717241,0.828984
1.72545,,0.710366,0.826074
1.73146,,0.703494,0.823156
1.73747,,0.696627,0.820229
1.74349,,0.689765,0.817296
1.7495,,0.68291,0.814356
1.75551,,0.676062,0.811411
1.76152,,0.669221,0.80846
1.76754,,0.662386,0.805504
1.77355,,0.655559,0.802545
1.77956,,0.648736,0.799582
1.78557,,0.64192,0.796616
1.79158,,0.635108,0.793648
1.7976,,0.628299,0.790678
1.80361,,0.621492,0.787706
1.80962,,0.614686,0.784733
1.81563,,0.607879,0.781759
1.82164,,0.601071,0.778784
1.82766,,0.594261,0.775809
1.83367,,0.587446,0.772834
1.83968,,0.580627,0.769859
1.84569,,0.573801,0.766885
1.8517,,0.566969,0.763911
1.85772,,0.560128,0.760938
1.86373,,0.553278,0.757967
1.86974,,0.546418,0.754996
1.87575,,0.539547,0.752027
1.88176,,0.532666,0.749059
1.88778,,0.525772,0.746093
1.89379,,0.518866,0.743129
1.8998,,0.511948,0.740166
1.90581,,0.505016,0.737206
1.91182,,0.498072,0.734247
1.91784,,0.491114,0.73129
1.92385,,0.484142,0.728336
1.92986,,0.477158,0.725383
1.93587,,0.47016,0.722433
1.94188,,0.46315,0.719485
1.9479,,0.456126,0.716538
1.95391,,0.449091,0.713594
1.95992,,0.442043,0.710652
1.96593,,0.434985,0.707712
1.97194,,0.427916,0.704775
1.97796,,0.420836,0.701839
1.98397,,0.413747,0.698905
1.98998,,0.406649,0.695973
1.99599,,0.399543,0.693043
2.002,,0.392428,0.690115
2.00802,,0.385307,0.687189
2.01403,,0.378179,0.684264
2.02004,,0.371046,0.681341
2.02605,,0.363907,0.67842
