Time [h],Silicon OCP [V] (V_si=0.001),Silicon OCP [V] (V_si=0.04),Silicon OCP [V] (V_si=0.1)
0.817635,0.16788,0.168801,0.17026
0.823647,0.168226,0.169152,0.17062
0.829659,0.16857,0.1695,0.170978
0.835671,0.168912,0.169848,0.171335
0.841683,0.169253,0.170195,0.171693
0.847695,0.169593,0.17054,0.172049
0.853707,0.169931,0.170885,0.172406
0.859719,0.170269,0.17123,0.172763
0.865731,0.170606,0.171574,0.173121
0.871743,0.170942,0.171918,0.173479
0.877756,0.171278,0.172263,0.173838
0.883768,0.171615,0.172607,0.174198
0.88978,0.171951,0.172953,0.17456
0.895792,0.172288,0.173299,0.174923
0.901804,0.172625,0.173647,0.175288
0.907816,0.172963,0.173995,0.175655
0.913828,0.173302,0.174345,0.176025
0.91984,0.173643,0.174697,0.176397
0.925852,0.173985,0.175052,0.176772
0.931864,0.174329,0.175408,0.17715
0.937876,0.174674,0.175767,0.177532
0.943888,0.175022,0.176129,0.177917
0.9499,0.175373,0.176494,0.178306
0.955912,0.175726,0.176862,0.1787
0.961924,0.176083,0.177234,0.179098
0.967936,0.176443,0.17761,0.179501
0.973948,0.176806,0.17799,0.179909
0.97996,0.177174,0.178375,0.180322
0.985972,0.177545,0.178765,0.180741
0.991984,0.177922,0.179159,0.181166
0.997996,0.178303,0.179559,0.181596
1.00401,0.178689,0.179965,0.182033
1.01002,0.17908,0.180376,0.182476
1.01603,0.179477,0.180794,0.182925
1.02204,0.17988,0.181218,0.183381
1.02806,0.180289,0.181648,0.183844
1.03407,0.180704,0.182085,0.184313
1.04008,0.181127,0.18253,0.18479
1.04609,0.181556,0.182981,0.185273
1.0521,0.181992,0.18344,0.185764
1.05812,0.182436,0.183905,0.186261
1.06413,0.182887,0.184379,0.186765
1.07014,0.183345,0.18486,0.187277
1.07615,0.183812,0.185348,0.187796
1.08216,0.184286,0.185844,0.188322
1.08818,0.184768,0.186349,0.188856
1.09419,0.185258,0.18686,0.189398
1.1002,0.185757,0.187381,0.189948
1.10621,0.186264,0.187909,0.190505
1.11222,0.18678,0.188446,0.19107
1.11824,0.187304,0.188991,0.191643
1.12425,0.187837,0.189546,0.192224
1.13026,0.188379,0.190109,0.192812
1.13627,0.188931,0.190681,0.193408
1.14228,0.189491,0.191262,0.194011
1.1483,0.190062,0.191852,0.194622
1.15431,0.190642,0.192451,0.19524
1.16032,0.191232,0.193059,0.195866
1.16633,0.191832,0.193675,0.196499
1.17234,0.192442,0.1943,0.19714
1.17836,0.193061,0.194934,0.197788
