Time [h],Graphite Avg J [A/m2] (V_si=0.001),Graphite Avg J [A/m2] (V_si=0.04),Graphite Avg J [A/m2] (V_si=0.1)
0.811623,0.744466,0.757937,0.779384
0.817635,0.744464,0.757972,0.779399
0.823647,0.744469,0.758005,0.779394
0.829659,0.744466,0.758021,0.779357
0.835671,0.744471,0.758035,0.779298
0.841683,0.744468,0.758033,0.779205
0.847695,0.744472,0.758028,0.77909
0.853707,0.744468,0.758006,0.778937
0.859719,0.744472,0.757981,0.778761
0.865731,0.744468,0.757938,0.778545
0.871743,0.74447,0.757891,0.778305
0.877756,0.744466,0.757826,0.778025
0.883768,0.744468,0.757756,0.777718
0.88978,0.744464,0.757668,0.777367
0.895792,0.744465,0.757575,0.776988
0.901804,0.74446,0.757462,0.776564
0.907816,0.744461,0.757343,0.776109
0.913828,0.744455,0.757203,0.775605
0.91984,0.744456,0.757058,0.775068
0.925852,0.744449,0.75689,0.77448
0.931864,0.744449,0.756716,0.773857
0.937876,0.744442,0.756518,0.773179
0.943888,0.744442,0.756313,0.772466
0.9499,0.744433,0.756082,0.771697
0.955912,0.744433,0.755844,0.770893
0.961924,0.744423,0.75558,0.770033
0.967936,0.744422,0.755307,0.769138
0.973948,0.744411,0.755007,0.768184
0.97996,0.74441,0.754699,0.767192
0.985972,0.744398,0.754364,0.766146
0.991984,0.744395,0.754021,0.765058
0.997996,0.744383,0.753649,0.76392
1.00401,0.744379,0.753268,0.762749
1.01002,0.744366,0.75286,0.76154
1.01603,0.744362,0.75244,0.760303
1.02204,0.744347,0.751995,0.759027
1.02806,0.744342,0.751539,0.757719
1.03407,0.744326,0.751064,0.756372
1.04008,0.744319,0.750581,0.754999
1.04609,0.744304,0.750078,0.753596
1.0521,0.744295,0.749565,0.752169
1.05812,0.74428,0.749031,0.750708
1.06413,0.744271,0.748489,0.749216
1.07014,0.744255,0.74793,0.747684
1.07615,0.744244,0.747363,0.746116
1.08216,0.744228,0.746778,0.744502
1.08818,0.744216,0.746183,0.742849
1.09419,0.744199,0.745568,0.741148
1.1002,0.744187,0.744939,0.739409
1.10621,0.74417,0.744287,0.737627
1.11222,0.744157,0.74362,0.735816
1.11824,0.744138,0.742927,0.733974
1.12425,0.744124,0.74222,0.732111
1.13026,0.744105,0.741488,0.730227
1.13627,0.74409,0.740744,0.728328
1.14228,0.744069,0.73998,0.726403
1.1483,0.744052,0.739206,0.724454
1.15431,0.744031,0.738418,0.722463
1.16032,0.744013,0.737622,0.720431
1.16633,0.743991,0.736811,0.718335
