time_h,voltage_0.5C,voltage_1C,voltage_2C,voltage_3C
0.0,4.0899719371540195,4.036355743560529,3.961214584982872,3.901733294373282
0.002777777777777778,4.0697159231284825,3.997591611978337,3.890562045726435,3.807078789149937
0.005555555555555556,4.057304302398786,3.976186050155334,3.8616985128065835,3.7733429901020044
0.008333333333333333,4.048409741449954,3.96256182223421,3.8465429831402895,3.7396509885489677
0.011111111111111112,4.041517310599621,3.9533008087368633,3.835249639442212,3.69421579932163
0.013888888888888888,4.035944267400006,3.946811670958427,3.8242786715043717,3.5237369359602693
0.016666666666666666,4.031317475156401,3.94219039393256,3.812555676441314,2.9025597532966843
0.019444444444444445,4.027405826542957,3.9388596049467197,3.800032891426314,2.7013972779424344
0.022222222222222223,4.024056342293413,3.936421604527797,3.7870550437634547,2.5917545257133994
0.023624551254162594,,,,2.498555623918652
0.025,4.021160153013096,3.9345905374809083,3.774049886124248,
0.027777777777777776,4.018637020661554,3.933156601515896,3.7613783337007693,
0.030555555555555555,4.0164266195171665,3.931963290177235,3.7492827627992495,
0.03333333333333333,4.014481950320915,3.930892765534828,3.737891957522136,
0.03611111111111111,4.012765417324159,3.929857101721632,3.7272490112292336,
0.03888888888888889,4.011246488218332,3.928791510837694,3.717341668888336,
0.041666666666666664,4.009900065865459,3.9276490900194934,3.7081267901242607,
0.044444444444444446,4.008705175970091,3.9263970698919333,3.699546290493384,
0.04722222222222222,4.007643960907868,3.9250138848660727,3.6915373838620202,
0.05,4.00670099890848,3.923486687423547,3.6840376206768126,
0.05277777777777778,4.005862846359785,3.9218094413610824,3.676988116692098,
0.05555555555555555,4.0051176819480085,3.9199813943244615,3.6703358608287524,
0.058333333333333334,4.0044550122466545,3.918005795562411,3.6640321363774193,
0.06111111111111111,4.0038654255204795,3.9158888584293736,3.6580323176121445,
0.06388888888888888,4.003340446233457,3.9136389460029033,3.652295718276545,
0.06666666666666667,4.002872325477899,3.911265896724945,3.646785080996984,
0.06944444444444445,4.002454026351433,3.9087804750051145,3.641466488542349,
0.07222222222222222,4.002079101348798,3.9061939632395215,3.6363087430802405,
0.075,4.001741602948407,3.9035178051311945,3.6312825984551016,
0.07777777777777778,4.001436075258572,3.9007633651203806,3.6263607514055898,
0.08055555555555556,4.001157464608588,3.897941722454116,3.6215169299297147,
0.08333333333333333,4.000901096013627,3.895063522426544,3.6167260970218913,
0.08611111111111111,4.000662650683348,3.8921388642262085,3.6119643442706004,
0.08888888888888889,4.000438076181916,3.8891772582664577,3.6072086315659515,
0.09166666666666666,4.000223630838107,3.886187574326169,3.6024368383150627,
0.09444444444444444,4.000015932616427,3.883177984832932,3.5976273947085704,
0.09722222222222222,3.9998116548537914,3.880156025118409,3.5927596384342517,
0.1,3.9996077922924065,3.877128519767538,3.587813311038132,
0.10277777777777777,3.999401737801414,3.874101638564725,3.5827691467798677,
0.10555555555555556,3.9991908076751357,3.8710809219298583,3.5776085404389835,
0.10833333333333334,3.9989726345077004,3.868071306246785,3.5723136412540795,
0.1111111111111111,3.998745184948153,3.865077196251103,3.5668673372213155,
0.11388888888888889,3.998506416746151,3.862102390841737,3.5612530732670313,
0.11666666666666667,3.998254528600167,3.85915031666845,3.5554543982300406,
0.11944444444444445,3.997987910802433,3.856223778676499,3.5494547444180484,
0.12222222222222222,3.9977050822386455,3.8533252989588704,3.5432366501230144,
0.125,3.997404712226347,3.8504569228211074,3.5367814151549886,
0.12777777777777777,3.997085578821405,3.8476203388960215,3.530069197126894,
0.13055555555555556,3.9967466207698377,3.844816940947496,3.5230798197467394,
0.13333333333333333,3.996386886322943,3.842047773849257,3.5157949268161315,
0.1361111111111111,3.9960055408440387,3.8393136611018903,3.5082025270299053,
0.1388888888888889,3.995601846356632,3.8366151386544987,3.5003046899938854,
0.14166666666666666,3.9951751856714224,3.833952557392554,3.492125110542165,
0.14444444444444443,3.994725096029104,3.8313260258680684,3.4837172069606575,
0.14722222222222223,3.994251118282216,3.828735501763689,3.4751680382738424,
0.15,3.9937528962556432,3.8261808124318986,3.4665928419028993,
0.1527777777777778,3.9932301398915127,3.8236616486016817,3.4581274330037033,
0.15555555555555556,3.992682666131326,3.8211775093200013,3.4499063200633153,
0.15833333333333333,3.9921104523492885,3.8187277974401117,3.4420440379636106,
0.16111111111111112,3.9915134201341558,3.81631189153513,3.4346213166744284,
0.1638888888888889,3.9908916085040604,3.8139290579265457,3.427679845946947,
0.16666666666666666,3.9902456699767783,3.8115794890178116,3.421226078759003,
0.16944444444444445,3.9895748769174495,3.809260302223027,3.415236061140764,
0.17222222222222222,3.988879664579961,3.8069711258318906,3.409672285748025,
0.175,3.9881603468307323,3.8047110560718367,3.4044878835259715,
0.17777777777777778,3.987417263080825,3.8024785830926247,3.3996347260494115,
0.18055555555555555,3.9866504967808933,3.8002732439328053,3.3950661369712636,
0.18333333333333332,3.9858605291991007,3.7980940930664353,3.3907407923435744,
0.18611111111111112,3.9850479783734456,3.7959392637011624,3.3866216764959156,
0.18888888888888888,3.9842133762858247,3.7938077145527025,3.3826779080173854,
0.19166666666666668,3.9833572521854603,3.7916986430379085,3.378882545222771,
0.19444444444444445,3.982479327604016,3.7896106355587285,3.3752136396118844,
0.19722222222222222,3.981580753154636,3.7875415887104813,3.3716520591399877,
0.2,3.9806621514936613,3.785490901391229,3.368182278139644,
0.20277777777777778,3.9797241658801057,3.7834573077731704,3.364790445804893,
0.20555555555555555,3.978767101264784,3.7814385636650187,3.3614656707336152,
0.20833333333333334,3.9777911746547363,3.7794335184988976,3.3581984234688034,
