Time [h],Graphite Conc_norm (V_si=0.001),Graphite Conc_norm (V_si=0.04),Graphite Conc_norm (V_si=0.1)
0.817635,0.396291,0.389738,0.3793
0.823647,0.393312,0.386705,0.376182
0.829659,0.390333,0.383672,0.373063
0.835671,0.387354,0.380638,0.369945
0.841683,0.384375,0.377605,0.366827
0.847695,0.381397,0.374572,0.363709
0.853707,0.378418,0.371539,0.360592
0.859719,0.375439,0.368506,0.357476
0.865731,0.37246,0.365473,0.35436
0.871743,0.369481,0.362441,0.351246
0.877756,0.366502,0.359408,0.348132
0.883768,0.363523,0.356376,0.34502
0.88978,0.360545,0.353344,0.341909
0.895792,0.357566,0.350313,0.338799
0.901804,0.354587,0.347282,0.335691
0.907816,0.351608,0.344251,0.332585
0.913828,0.348629,0.341221,0.329481
0.91984,0.345651,0.338192,0.326379
0.925852,0.342672,0.335163,0.323279
0.931864,0.339693,0.332135,0.320182
0.937876,0.336714,0.329108,0.317087
0.943888,0.333735,0.326081,0.313995
0.9499,0.330757,0.323056,0.310906
0.955912,0.327778,0.320031,0.30782
0.961924,0.324799,0.317007,0.304738
0.967936,0.321821,0.313985,0.301659
0.973948,0.318842,0.310963,0.298584
0.97996,0.315863,0.307943,0.295513
0.985972,0.312885,0.304924,0.292445
0.991984,0.309906,0.301906,0.289383
0.997996,0.306928,0.29889,0.286324
1.00401,0.303949,0.295876,0.28327
1.01002,0.300971,0.292862,0.280221
1.01603,0.297992,0.289851,0.277177
1.02204,0.295014,0.286841,0.274138
1.02806,0.292036,0.283834,0.271104
1.03407,0.289057,0.280828,0.268076
1.04008,0.286079,0.277824,0.265053
1.04609,0.283101,0.274822,0.262035
1.0521,0.280123,0.271822,0.259023
1.05812,0.277145,0.268824,0.256017
1.06413,0.274167,0.265828,0.253017
1.07014,0.271188,0.262834,0.250023
1.07615,0.268211,0.259843,0.247035
1.08216,0.265233,0.256854,0.244054
1.08818,0.262255,0.253867,0.241079
1.09419,0.259277,0.250883,0.238111
1.1002,0.256299,0.247901,0.235149
1.10621,0.253321,0.244922,0.232195
1.11222,0.250344,0.241946,0.229248
1.11824,0.247366,0.238972,0.226308
1.12425,0.244389,0.236001,0.223376
1.13026,0.241411,0.233033,0.220451
1.13627,0.238434,0.230068,0.217534
1.14228,0.235457,0.227106,0.214625
1.1483,0.23248,0.224147,0.211723
1.15431,0.229502,0.221191,0.208829
1.16032,0.226525,0.218238,0.205943
1.16633,0.223548,0.215289,0.203066
1.17234,0.220571,0.212343,0.200197
1.17836,0.217595,0.2094,0.197337
1.18437,0.214618,0.206461,0.194486
1.19038,0.211641,0.203525,0.191645
1.19639,0.208665,0.200592,0.188814
1.2024,0.205688,0.197664,0.185993
1.20842,0.202712,0.19474,0.183183
1.21443,0.199736,0.191819,0.180385
1.22044,0.196759,0.188903,0.177599
1.22645,0.193783,0.185992,0.174825
1.23246,0.190807,0.183086,0.172064
1.23848,0.187832,0.180185,0.169317
1.24449,0.184856,0.177289,0.166582
1.2505,0.18188,0.174399,0.163861
1.25651,0.178905,0.171515,0.161155
1.26253,0.17593,0.168637,0.158462
1.26854,0.172954,0.165766,0.155785
1.27455,0.169979,0.162901,0.153122
1.28056,0.167005,0.160043,0.150475
1.28657,0.16403,0.157192,0.147842
1.29259,0.161056,0.154349,0.145224
1.2986,0.158081,0.151512,0.142622
1.30461,0.155107,0.148683,0.140035
1.31062,0.152134,0.145861,0.137464
1.31663,0.14916,0.143047,0.13491
1.32265,0.146187,0.140239,0.132371
1.32866,0.143214,0.137441,0.12985
1.33467,0.140241,0.13465,0.127344
1.34068,0.137268,0.131868,0.124854
1.34669,0.134295,0.129095,0.122379
1.35271,0.131323,0.126331,0.119917
1.35872,0.128351,0.123574,0.117467
1.36473,0.12538,0.120826,0.115027
1.37074,0.122408,0.118084,0.112595
1.37675,0.119437,0.115347,0.11017
1.38277,0.116466,0.112615,0.107751
1.38878,0.113495,0.109887,0.105337
1.39479,0.110525,0.107162,0.10293
1.4008,0.107554,0.104441,0.100528
1.40681,0.104584,0.101723,0.098133
1.41283,0.101613,0.0990095,0.0957457
1.41884,0.098643,0.0962999,0.0933666
1.42485,0.0956729,0.0935957,0.0909983
1.43086,0.0927031,0.0908976,0.0886414
1.43687,0.0897334,0.0882074,0.0862996
1.44289,0.0867641,0.085526,0.0839734
1.4489,0.083795,0.0828558,0.0816678
1.45491,0.0808265,0.0801989,0.0793834
1.46092,0.0778585,0.0775582,0.077125
1.46693,0.0748913,0.0749372,0.0748963
1.47295,0.071925,0.0723402,0.0727025
1.47896,0.0689599,0.0697727,0.0705481
1.48497,0.0659967,0.0672425,0.0684404
1.49098,0.0630358,0.0647579,0.0663855
1.49699,0.0600784,0.0623306,0.0643926
1.50301,0.0571259,0.0599714,0.0624675
1.50902,0.0541804,0.0576943,0.0606197
1.51503,0.0512447,0.055509,0.0588527
1.52104,0.0483227,0.0534274,0.0571742
1.52705,0.04542,0.0514562,0.0555837
1.53307,0.0425443,0.0496015,0.0540866
1.53908,0.039707,0.0478609,0.0526777
1.54509,0.0369239,0.0462374,0.05136
1.5511,0.0342132,0.0447241,0.0501247
1.55711,0.0315836,0.0433203,0.0489736
1.56313,0.029021,0.0420174,0.0478967
1.56914,0.0264959,0.040813,0.0468948
1.57515,0.0239895,0.0396979,0.0459587
1.58116,0.0215037,0.0386688,0.0450884
1.58717,0.0190551,0.0377171,0.0442756
1.59319,0.0166678,0.0368391,0.04352
1.5992,0.0143595,0.0360272,0.0428141
1.60521,0.0121228,0.0352776,0.0421578
1.61122,0.0099274,0.0345834,0.0415444
1.61723,0.00775733,0.0339424,0.0409738
1.62214,0.0060042,,
1.62325,,0.0333454,0.0404403
1.62926,,0.0327912,0.0399437
1.63527,,0.0322725,0.0394791
1.64128,,0.0317879,0.0390465
1.64729,,0.0313312,0.0386415
1.65331,,0.0309007,0.038264
1.65932,,0.0304912,0.0379105
1.66533,,0.0301012,0.037582
