Time [s],Voltage (Fickian diffusion) [V],Voltage (uniform profile) [V],Voltage (quadratic profile) [V],Voltage (quartic profile) [V]
0.0,3.7717657277956618,3.7717657277956618,3.763299144361823,3.7705259964663127
50.70422535211268,3.7520694082005126,3.7587486843305418,3.7503306717856435,3.7520746577516877
101.40845070422536,3.7440556987346367,3.7516706079140985,3.7434161530163994,3.743857551725748
152.11267605633805,3.737697479525746,3.7454853322843427,3.7374428471843615,3.7375647479278404
202.81690140845072,3.7318385249650126,3.7395301514957016,3.731728580415256,3.7317656854523404
253.5211267605634,3.7262498560716493,3.7337372126754014,3.7261952509780736,3.726208068845295
304.2253521126761,3.7208800751297986,3.7281167270166167,3.7208476093803773,3.720852399361112
354.92957746478874,3.7157184818813453,3.7226853085498908,3.715695149690078,3.7156972302288223
405.63380281690144,3.710762793646774,3.717455471384807,3.710743274056149,3.7107445346723313
456.33802816901414,3.7060084873325088,3.712435244562541,3.7059915625831508,3.705991178553772
507.0422535211268,3.7014465801373198,3.7076282304933166,3.7014314840423044,3.7014281020460262
557.7464788732394,3.697052784998381,3.7030338344350335,3.6970473306784792,3.6970356995672438
608.4507042253522,3.692807199057757,3.698646494463648,3.692820085544475,3.6927882849358475
659.1549295774648,3.6886935580513462,3.694453667689279,3.688734919554457,3.6886729484618517
709.8591549295775,3.684710086908045,3.690429748979697,3.6847834092789196,3.6846891849822883
760.5633802816902,3.68085952214759,3.686531645713648,3.6809620898916418,3.6808402264278186
811.2676056338029,3.6771435446126586,3.6827082958547805,3.677269172520943,3.6771272240086663
861.9718309859155,3.6735614652001933,3.6789392311848856,3.6737029758471693,3.673548607743955
912.6760563380283,3.670110061618726,3.675246324291118,3.6702609597321807,3.670100636610377
963.3802816901409,3.666784313921341,3.6716607179599734,3.666939198556462,3.666777856170272
1014.0845070422536,3.663577633295474,3.6681998737489168,3.663732206077086,3.6635735178836644
1064.7887323943662,3.66048184401585,3.6648694286703876,3.6606330777849783,3.660479369095624
1115.4929577464789,3.6574870325570217,3.6616672431062436,3.657633155460034,3.657485812635918
1166.1971830985917,3.6545822551925906,3.6585873421427415,3.6547226745537618,3.6545817515202144
1216.9014084507044,3.6517540286499344,3.6556184267657215,3.6518873747059617,3.651753959090435
1267.605633802817,3.648986460685297,3.6527520268106377,3.6491118617063734,3.6489863848737265
1318.3098591549297,3.6462584700221203,3.6499754547225596,3.646374774134222,3.6462581940392385
1369.0140845070423,3.643541165467534,3.647275145047254,3.6436449728275244,3.643540496127402
1419.718309859155,3.640790177193512,3.644637707704363,3.640873200715664,3.6407892201231657
1470.4225352112678,3.6379293915603697,3.6420454730077045,3.6379707803618464,3.637928711571555
1521.1267605633805,3.6348208078257884,3.63947747269078,3.634781329770536,3.634821513118592
1571.830985915493,3.631259328150051,3.636907361892872,3.631117353781118,3.6312613646848986
1622.5352112676057,3.6271635672352263,3.634297117656407,3.6269697055420784,3.627161638333598
1673.2394366197184,3.622810535874505,3.6315885038183624,3.622631301278732,3.622800118370947
1723.943661971831,3.618642632895141,3.6286844449106557,3.6185130379746564,3.61862636172807
1774.6478873239437,3.614971916234407,3.625432837653797,3.614894425910986,3.614954549555147
1825.3521126760565,3.6118760065091733,3.621725978752717,3.6118334966598393,3.611861231624973
1876.0563380281692,3.609274073812313,3.61779505003247,3.6092455532261907,3.6092619145250415
1926.7605633802818,3.607038893249343,3.614083915478898,3.6070148735717567,3.607028173459628
1977.4647887323945,3.6050661662718406,3.610847843798749,3.605045482847217,3.605056364017348
2028.1690140845071,3.603287310014413,3.6081217485699697,3.603271253717856,3.603278096831682
2078.8732394366198,3.6016618097926703,3.6058193640147294,3.6016499958456007,3.60165319059781
2129.5774647887324,3.6001663927906815,3.6038239965158763,3.6001591205533137,3.600159198410175
2180.281690140845,3.598787878023991,3.602038853105719,3.598783345869388,3.5987816943571773
2230.9859154929577,3.5975043906634645,3.600400420348689,3.5975011197649187,3.597499241280256
2281.690140845071,3.596272046253632,3.598873360085724,3.596269437592471,3.5962667381338287
2332.3943661971834,3.595030702276869,3.5974419503483803,3.5950385998723835,3.5950227029262587
2383.098591549296,3.593740114191081,3.596099202229105,3.593773752765461,3.593727337391969
2433.8028169014087,3.592387292484686,3.594837899875845,3.59245631075082,3.5923704728947103
2484.5070422535214,3.590971655507862,3.593636309998408,3.591077728585497,3.5909529037603183
2535.211267605634,3.5894938681316937,3.5924451234814727,3.589633943773057,3.589475468053074
2585.9154929577467,3.587953649007708,3.5911925011959696,3.5881218648264337,3.5879370718803103
2636.6197183098593,3.5863472603638016,3.589817018808921,3.5865376320953444,3.586333179761993
2687.323943661972,3.58466686461989,3.588296493445709,3.584873962538866,3.5846555553130317
2738.0281690140846,3.582899198930401,3.58663809753493,3.583118181989292,3.5828900878206795
2788.7323943661972,3.5810216482394726,3.5848546411511704,3.5812491037282874,3.581014270406817
2839.43661971831,3.578999597043673,3.5829458411766115,3.5792330240288646,3.578992915119257
2890.1408450704225,3.5767792719200706,3.5808924094290084,3.5770183636716792,3.5767731769972775
2940.8450704225356,3.5742860247122383,3.578654428026869,3.5745311357475664,3.574279889885174
2991.5492957746483,3.5714170098701503,3.576165106113775,3.5716675281326946,3.571410277243391
3042.253521126761,3.568033610483605,3.5733307358678505,3.568280551761884,3.5680260671907154
3092.9577464788736,3.563938031248557,3.570032387412271,3.564153115390061,3.5639311928361983
3143.661971830986,3.558841380573118,3.5661301619866674,3.5589814447877393,3.5588369047619874
3194.366197183099,3.5523518210970715,3.5614533892085873,3.5524018111368902,3.5523488161671546
